"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"blask";0;0,000333267571966795;0;0,000605260685087765;0;0,000410908278346863;0;0,000330205389069703;0,00014386930379484;0;0,000327447409358415;0,000237210251993967;0,000492292509275151;0;9,28413860333762e-05;0;0;0,0005778870862647;0,0002879787900668;0
"blat";0;0;0;0,000609461611988143;0,00129963755642814;0;0,00098972398527989;0;0;0;0;0;0;0;0,000186971538661594;0;0;0,00116379604299243;0,00115991024652167;0
"błędny";0;0;0,000815570107090749;0;0,000868659968158385;0;0,00132303595150277;0;0;0;0;0;0;0;0;0;0,000566323925582283;0;0;0
"błękit";0,000860552939107817;0;0,00478790254846077;0,00850286693518461;0;0;0;0;0;0;0;0,00166619710982372;0,000864482404583195;0;0;0,000574354635126947;0;0;0;0,000625339873174962
"błękitny";0;0,00154559505409583;0,00245872848612575;0,00140350877192982;0,000374111485222596;0,000952834683182468;0;0;0;0;0,000379650721336371;0,00275027502750275;0;0;0;0,000379218809252939;0;0,000670016750418761;0,00166944908180301;0
"bliski";0;0;0;0,000722207961866327;0,000385015467886089;0;0,00117281634832993;0,000197003511803123;0,000600836065022237;0,000274732073053795;0;0,00070760887352827;0,000293706148875433;0,000412318247459742;0,000387730054877105;0,000390271651748015;0;0,000689545290224132;0,000687242968720879;0,000424915914805746
"bliżej";0;0,000386398763523957;0,000702493853178785;0;0,000374111485222596;0;0;0;0,0018348623853211;0,00106780565936999;0;0;0;0,000267094017094017;0,000322927879440258;0,000379218809252939;0;0,00134003350083752;0,0010016694490818;0
"bliższy";0;0,000772797527047913;0;0;0;0;0;0;0,000333611342785655;0;0;0,00055005500550055;0;0;0,000430570505920344;0;0,00048780487804878;0;0;0
"blokada";0;0;0,000815570107090749;0,00081471161224118;0;0;0;0;0;0;0;0;0;0;0,000249938438631578;0,00088051880731413;0;0;0;0
"błona";0;0;0;0;0;0,00130393787239934;0;0;0;0;0;0;0;0;0,00058922833028336;0;0;0;0,000913844939621438;0
"błoto";0,00155509408759444;0;0;0;0;0;0;0;0;0;0;0;0,00156219497383916;0;0;0,00311372650075791;0;0;0;0
"błysk";0;0;0;0;0;0;0;0;0;0;0;0,000752740812476954;0;0;0,00029461416514168;0;0;0,000916906396705597;0;0
"błyskać";0;0;0;0;0;0;0;0,00104784287678645;0;0;0;0,00225822243743086;0;0;0;0;0;0,000916906396705597;0;0
"błyskawica";0;0;0;0;0;0;0;0,00104784287678645;0;0;0,00103909096209803;0,000752740812476954;0;0;0;0;0;0;0;0
