"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"biegnąc";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"biegnąć";0;1;1;0;0;0;1;0;0;0;0;1;0;2;5;0;0;3;0;0
"biegun";0;0;0;0;0;0;0;0;6;0;0;0;0;1;1;0;0;0;0;0
"bieleć";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bielić";4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biesiada";0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1
"biesiadny";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"bieżący";0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
"bieży";1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"bila";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
"bilion";0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0
"binokle";0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0
"biodro";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"biologiczny";0;0;1;0;4;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0
"biorąc";0;1;1;1;1;0;0;0;7;1;0;0;0;0;2;2;0;0;3;0
"biskup";1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"bitwa";0;2;0;0;0;0;0;3;3;0;0;0;1;0;0;0;0;0;1;7
"bity";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"biurko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0
"biuro";0;0;0;0;0;0;0;0;1;0;3;0;0;0;15;2;0;0;0;0
"biznesowy";0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
"biżuteria";0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0
"blacha";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"błąd";0;0;0;3;0;1;0;1;1;0;0;0;0;3;2;1;10;0;2;0
"bladość";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blady";2;1;1;0;1;6;0;0;0;0;0;3;0;0;1;0;0;1;2;2
"błądzić";1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;4;0;0;0
"błagać";0;1;0;1;0;0;0;1;0;0;0;0;2;0;0;1;1;1;0;0
"błąkać";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
"blask";0;1;0;2;0;1;0;1;1;0;1;1;1;0;1;0;0;2;1;0
"blaszany";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"blat";0;0;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;2;2;0
"błazen";0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"błędny";0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"błękit";1;0;9;16;0;0;0;0;0;0;0;4;1;0;0;1;0;0;0;1
"błękitny";0;4;7;4;1;2;0;0;0;0;1;10;0;0;0;1;0;2;5;0
"bliski";0;0;0;4;2;0;4;1;7;1;0;5;1;3;7;2;0;4;4;2
"bliskie";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"bliżej";0;1;2;0;1;0;0;0;11;2;0;0;0;1;3;1;0;4;3;0
"bliższy";0;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0
"blok";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"blokada";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"blokować";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"błona";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0
"bloom";0;0;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"błoto";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0
"błysk";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
"błyskać";0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0
"błyskając";0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"błyskawica";0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
"błyskawiczny";0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
